Name
"DXC Technology",
"DXC Technology Co.",
"KMART",
"KMART AUSTRALIA LIMITED",
"Sapiens",
"Sapiens International Corporation N.V",
"ViTech Systems Sub LLC",
"Hyland",
"Hyland Software",
"IBM",
"Kirkland and Ellis",
"Kirkland & Ellis LLP",
"CISCO",
"SAP",
"Infosys"
